Tahun,count,cluster
201401,4,1
201402,40,1
201403,107,1
201404,14,1
201405,24,1
201406,58,1
201407,76,1
201408,21,1
201409,56,1
201410,27,1
201411,34,1
201412,14,1
201501,23,1
201502,11,1
201503,20,1
201504,52,1
201505,40,1
201506,64,1
201507,220,1
201508,36,1
201509,314,1
201510,40,1
201511,15,1
201512,42,1
201601,17,1
201603,19,1
201604,34,1
201605,18,1
201606,32,1
201607,30,1
201608,12,1
201609,12,1
201610,4,1
201611,2,1
201612,7,1
201701,12,1
201702,11,1
201703,3,1
201704,12,1
201705,25,1
201706,25,1
201707,30,1
201708,20,1
201709,9,1
201710,20,1
201711,9,1
201712,3,1
201801,28,1
201802,13,1
201803,31,1
201804,11,1
201805,14,1
201806,10,1
201807,12,1
201808,42,1
201809,50,1
201810,19,1
201811,6,1
201812,2,1
201901,4,1
201902,19,1
201903,45,1
201904,18,1
201905,29,1
201906,32,1
201907,66,1
201908,221,1
