Tahun,count,cluster
201401,11,5
201402,326,5
201403,878,5
201404,37,5
201405,9,5
201406,221,5
201407,278,5
201408,34,5
201409,3,5
201410,2,5
201411,20,5
201412,6,5
201501,9,5
201502,55,5
201503,96,5
201504,81,5
201505,30,5
201506,66,5
201507,275,5
201508,13,5
201509,26,5
201510,5,5
201511,8,5
201512,6,5
201601,41,5
201602,6,5
201603,58,5
201604,34,5
201605,19,5
201606,29,5
201607,27,5
201608,97,5
201609,38,5
201610,10,5
201611,5,5
201612,5,5
201701,13,5
201702,21,5
201703,16,5
201704,20,5
201705,24,5
201706,13,5
201707,23,5
201708,11,5
201709,4,5
201710,11,5
201711,3,5
201712,4,5
201801,15,5
201802,30,5
201803,30,5
201804,27,5
201805,13,5
201806,7,5
201807,29,5
201808,204,5
201809,5,5
201810,1,5
201811,1,5
201901,6,5
201902,81,5
201903,86,5
201904,28,5
201905,23,5
201906,36,5
201907,47,5
201908,85,5
